experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
single_modal,ais,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_逆光_20260717_172249.log,500,True,0.1851|0.1565|0.1863|0.1530|0.1676,0.1697,0.0139,0.2268|0.1789|0.2175|0.1602|0.1936,0.1954,0.0245,0.1869|0.1577|0.1843|0.1591|0.1691,0.1714,0.0123,0.1871|0.1594|0.1893|0.1515|0.1668,0.1708,0.015,0.1851|0.1565|0.1863|0.1530|0.1676,0.1697,0.0139,0.1851|0.1565|0.1863|0.1530|0.1676,0.1697,0.0139,0.1851|0.1565|0.1863|0.1530|0.1676,0.1697,0.0139,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,315.0000|315.0000|315.0000|315.0000|315.0000,315.0,0.0
single_modal,ir,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雨天_20260717_172614.log,500,True,0.4231|0.3846|0.3846|0.3808|0.3846,0.3915,0.0158,0.4815|0.3537|0.3148|0.3470|0.3148,0.3624,0.0617,0.4500|0.4167|0.4167|0.4146|0.4167,0.4229,0.0136,0.3781|0.3341|0.3225|0.3294|0.3225,0.3373,0.0208,0.4231|0.3846|0.3846|0.3808|0.3846,0.3915,0.0158,0.4231|0.3846|0.3846|0.3808|0.3846,0.3915,0.0158,0.4231|0.3846|0.3846|0.3808|0.3846,0.3915,0.0158,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ais,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雨天_20260717_173252.log,500,True,0.1698|0.1625|0.1752|0.1429|0.1587,0.1618,0.0111,0.2044|0.1917|0.1924|0.1706|0.1747,0.1867,0.0124,0.1728|0.1682|0.1747|0.1450|0.1599,0.1641,0.0108,0.1719|0.1667|0.1724|0.1457|0.1561,0.1625,0.0103,0.1698|0.1625|0.1752|0.1429|0.1587,0.1618,0.0111,0.1698|0.1625|0.1752|0.1429|0.1587,0.1618,0.0111,0.1698|0.1625|0.1752|0.1429|0.1587,0.1618,0.0111,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,315.0000|315.0000|315.0000|315.0000|315.0000,315.0,0.0
single_modal,ais,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雾天_20260717_173615.log,500,True,0.1575|0.1546|0.1581|0.1432|0.1438,0.1514,0.0066,0.1719|0.1838|0.1711|0.1467|0.1660,0.1679,0.0121,0.1605|0.1578|0.1566|0.1464|0.1466,0.1536,0.0059,0.1527|0.1587|0.1536|0.1375|0.1433,0.1492,0.0077,0.1575|0.1546|0.1581|0.1432|0.1438,0.1514,0.0066,0.1575|0.1546|0.1581|0.1432|0.1438,0.1514,0.0066,0.1575|0.1546|0.1581|0.1432|0.1438,0.1514,0.0066,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,315.0000|315.0000|315.0000|315.0000|315.0000,315.0,0.0
single_modal,ais,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_黑天_20260717_173939.log,500,True,0.1654|0.1419|0.1511|0.1505|0.1641,0.1546,0.0089,0.1792|0.1756|0.1539|0.1546|0.1778,0.1682,0.0114,0.1685|0.1448|0.1509|0.1537|0.1659,0.1568,0.0091,0.1604|0.1487|0.1456|0.1447|0.1613,0.1522,0.0072,0.1654|0.1419|0.1511|0.1505|0.1641,0.1546,0.0089,0.1654|0.1419|0.1511|0.1505|0.1641,0.1546,0.0089,0.1654|0.1419|0.1511|0.1505|0.1641,0.1546,0.0089,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,16.0000|16.0000|16.0000|16.0000|16.0000,16.0,0.0,315.0000|315.0000|315.0000|315.0000|315.0000,315.0,0.0
module,without_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_逆光_20260717_174306.log,500,True,0.8611|0.8861|0.8444|0.9806|0.8917,0.8928,0.0471,0.9182|0.8307|0.9560|0.9844|0.9713,0.9321,0.0554,0.9093|0.8089|0.8869|0.9903|0.9308,0.9052,0.0592,0.8999|0.8058|0.8977|0.9862|0.9420,0.9063,0.0598,0.8611|0.8861|0.8444|0.9806|0.8917,0.8928,0.0471,0.8611|0.8861|0.8444|0.9806|0.8917,0.8928,0.0471,0.8611|0.8861|0.8444|0.9806|0.8917,0.8928,0.0471,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260717_181023.log,500,True,0.9250|0.9361|0.9028|0.9722|0.9611,0.9394,0.0249,0.9841|0.9466|0.9758|0.9841|0.9841,0.975,0.0145,0.9483|0.9306|0.9301|0.9861|0.9772,0.9545,0.0233,0.9609|0.9364|0.9457|0.9840|0.9791,0.9612,0.0184,0.9250|0.9361|0.9028|0.9722|0.9611,0.9394,0.0249,0.9250|0.9361|0.9028|0.9722|0.9611,0.9394,0.0249,0.9250|0.9361|0.9028|0.9722|0.9611,0.9394,0.0249,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260717_183811.log,500,True,0.8806|0.8611|0.9194|0.8861|0.8889,0.8872,0.0188,0.9236|0.7721|0.9334|0.8987|0.8667,0.8789,0.0582,0.9185|0.7917|0.9411|0.8903|0.9139,0.8911,0.0523,0.9135|0.7747|0.9308|0.8681|0.8772,0.8728,0.0542,0.8806|0.8611|0.9194|0.8861|0.8889,0.8872,0.0188,0.8806|0.8611|0.9194|0.8861|0.8889,0.8872,0.0188,0.8806|0.8611|0.9194|0.8861|0.8889,0.8872,0.0188,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雨天_20260717_190627.log,500,True,0.7538|0.7423|0.8731|0.7115|0.7462,0.7654,0.0557,0.7121|0.7678|0.9139|0.8494|0.6968,0.788,0.0826,0.7304|0.7342|0.8938|0.7075|0.7100,0.7552,0.0701,0.6743|0.7005|0.8736|0.7263|0.6569,0.7263,0.0773,0.7538|0.7423|0.8731|0.7115|0.7462,0.7654,0.0557,0.7538|0.7423|0.8731|0.7115|0.7462,0.7654,0.0557,0.7538|0.7423|0.8731|0.7115|0.7462,0.7654,0.0557,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,with_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雨天_20260717_192310.log,500,True,0.9423|0.9808|0.7731|0.7308|0.8577,0.8569,0.0955,0.9568|0.9833|0.8493|0.7695|0.9155,0.8949,0.0773,0.9500|0.9858|0.8671|0.7488|0.8942,0.8892,0.0816,0.9456|0.9830|0.8092|0.7211|0.8792,0.8676,0.0942,0.9423|0.9808|0.7731|0.7308|0.8577,0.8569,0.0955,0.9423|0.9808|0.7731|0.7308|0.8577,0.8569,0.0955,0.9423|0.9808|0.7731|0.7308|0.8577,0.8569,0.0955,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雾天_20260717_194007.log,500,True,0.8400|0.8035|0.8348|0.8530|0.8435,0.835,0.0168,0.8567|0.7901|0.7441|0.7542|0.8489,0.7988,0.0467,0.7803|0.7302|0.7333|0.7460|0.7915,0.7563,0.025,0.8027|0.7343|0.7192|0.7405|0.7911,0.7576,0.0331,0.8400|0.8035|0.8348|0.8530|0.8435,0.835,0.0168,0.8400|0.8035|0.8348|0.8530|0.8435,0.835,0.0168,0.8400|0.8035|0.8348|0.8530|0.8435,0.835,0.0168,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,with_tensor_without_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_黑天_20260717_205309.log,500,True,0.9500|0.9667|0.9433|0.9633|0.9108,0.9468,0.0199,0.9779|0.9662|0.9456|0.9611|0.8924,0.9487,0.03,0.9139|0.9326|0.9461|0.9227|0.8534,0.9137,0.032,0.9386|0.9428|0.9433|0.9335|0.8531,0.9223,0.0348,0.9500|0.9667|0.9433|0.9633|0.9108,0.9468,0.0199,0.9500|0.9667|0.9433|0.9633|0.9108,0.9468,0.0199,0.9500|0.9667|0.9433|0.9633|0.9108,0.9468,0.0199,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
